ohayou	おはよう
konnichiwa	こんにちは
konnichiha	こんにちは
konbanwa	こんばんは
arigatou	ありがとう
arigato	ありがとう
sumimasen	すみません
gomennasai	ごめんなさい
onegaishimasu	お願いします
ohayougozaimasu	おはようございます
watashi	私
anata	あなた
tomodachi	友達
nihon	日本
nihongo	日本語
daijoubu	大丈夫
hai	はい
iie	いいえ
neko	猫
inu	犬
tabemasu	食べます
nomimasu	飲みます
desu	です
masu	ます
です	desu
a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
sa	さ
shi	し
si	し
su	す
se	せ
so	そ
ta	た
chi	ち
ti	ち
tsu	つ
tu	つ
te	て
to	と
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
fu	ふ
hu	ふ
he	へ
ho	ほ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
wa	わ
wo	を
n	ん
nn	ん
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
za	ざ
ji	じ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
da	だ
di	ぢ
du	づ
de	で
do	ど
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
kya	きゃ
kyu	きゅ
kyo	きょ
sha	しゃ
shu	しゅ
syu	しゅ
sho	しょ
syo	しょ
cha	ちゃ
cya	ちゃ
chu	ちゅ
cyu	ちゅ
cho	ちょ
cyo	ちょ
nya	にゃ
nyu	にゅ
nyo	にょ
hya	ひゃ
hyu	ひゅ
hyo	ひょ
mya	みゃ
myu	みゅ
myo	みょ
rya	りゃ
ryu	りゅ
ryo	りょ
gya	ぎゃ
gyu	ぎゅ
gyo	ぎょ
ja	じゃ
jya	じゃ
ju	じゅ
jyu	じゅ
jo	じょ
jyo	じょ
bya	びゃ
byu	びゅ
byo	びょ
pya	ぴゃ
pyu	ぴゅ
pyo	ぴょ
fa	ふぁ
fi	ふぃ
fe	ふぇ
fo	ふぉ
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ
ltu	っ
xtu	っ
xtsu	っ
lya	ゃ
lyu	ゅ
lyo	ょ
xya	ゃ
xyu	ゅ
xyo	ょ
q	っ
ka	カ
ki	キ
ku	ク
ke	ケ
ko	コ
sa	サ
shi	シ
su	ス
se	セ
so	ソ
ta	タ
chi	チ
tsu	ツ
te	テ
to	ト
na	ナ
ni	ニ
nu	ヌ
ne	ネ
no	ノ
ha	ハ
hi	ヒ
fu	フ
he	ヘ
ho	ホ
ma	マ
mi	ミ
mu	ム
me	メ
mo	モ
ya	ヤ
yu	ユ
yo	ヨ
ra	ラ
ri	リ
ru	ル
re	レ
ro	ロ
wa	ワ
wo	ヲ
n	ン
ga	ガ
gi	ギ
gu	グ
ge	ゲ
go	ゴ
za	ザ
ji	ジ
zu	ズ
ze	ゼ
zo	ゾ
da	ダ
di	ヂ
du	ヅ
de	デ
do	ド
ba	バ
bi	ビ
bu	ブ
be	ベ
bo	ボ
pa	パ
pi	ピ
pu	プ
pe	ペ
po	ポ
kya	キャ
kyu	キュ
kyo	キョ
sha	シャ
shu	シュ
sho	ショ
cha	チャ
chu	チュ
cho	チョ
nya	ニャ
nyu	ニュ
nyo	ニョ
hya	ヒャ
hyu	ヒュ
hyo	ヒョ
mya	ミャ
myu	ミュ
myo	ミョ
rya	リャ
ryu	リュ
ryo	リョ
gya	ギャ
gyu	ギュ
gyo	ギョ
ja	ジャ
ju	ジュ
jo	ジョ
bya	ビャ
byu	ビュ
byo	ビョ
pya	ピャ
pyu	ピュ
pyo	ピョ
fa	ファ
fi	フィ
fe	フェ
fo	フォ
va	ヴァ
vi	ヴィ
vu	ヴ
ve	ヴェ
vo	ヴォ
la	ァ
li	ィ
lu	ゥ
le	ェ
lo	ォ
xa	ァ
xi	ィ
xu	ゥ
xe	ェ
xo	ォ
ltu	ッ
xtu	ッ
xtsu	ッ
xya	ャ
xyu	ュ
xyo	ョ
q	ッ
