annyeong	안녕
annyeonghaseyo	안녕하세요
gamsahamnida	감사합니다
gomapseumnida	고맙습니다
mianhae	미안해
mianhamnida	미안합니다
saranghae	사랑해
saranghamnida	사랑합니다
eomma	엄마
appa	아빠
chingu	친구
hangugeo	한국어
hanguk	한국
ne	네
aniyo	아니요
gwaenchanha	괜찮아
gwaenchanseumnida	괜찮습니다
jaljayo	잘자요
annyeonghi	안녕히
oneul	오늘
naeil	내일
mwo	뭐
eotteoke	어떻게
joahae	좋아해
meogeoyo	먹어요
g	ㄱ
kk	ㄲ
n	ㄴ
d	ㄷ
tt	ㄸ
r	ㄹ
m	ㅁ
b	ㅂ
pp	ㅃ
s	ㅅ
ss	ㅆ
ng	ㅇ
j	ㅈ
jj	ㅉ
ch	ㅊ
k	ㅋ
t	ㅌ
p	ㅍ
h	ㅎ
a	ㅏ
ae	ㅐ
ya	ㅑ
yae	ㅒ
eo	ㅓ
e	ㅔ
yeo	ㅕ
ye	ㅖ
o	ㅗ
wa	ㅘ
wae	ㅙ
oe	ㅚ
yo	ㅛ
u	ㅜ
wo	ㅝ
we	ㅞ
wi	ㅟ
yu	ㅠ
eu	ㅡ
ui	ㅢ
i	ㅣ
ga	가
gae	개
gya	갸
gyae	걔
geo	거
ge	게
gyeo	겨
gye	계
go	고
gwa	과
gwae	괘
goe	괴
gyo	교
gu	구
gwo	궈
gwe	궤
gwi	귀
gyu	규
geu	그
gui	긔
gi	기
kka	까
kkae	깨
kkya	꺄
kkyae	꺠
kkeo	꺼
kke	께
kkyeo	껴
kkye	꼐
kko	꼬
kkwa	꽈
kkwae	꽤
kkoe	꾀
kkyo	꾜
kku	꾸
kkwo	꿔
kkwe	꿰
kkwi	뀌
kkyu	뀨
kkeu	끄
kkui	끠
kki	끼
na	나
nae	내
nya	냐
nyae	냬
neo	너
ne	네
nyeo	녀
nye	녜
no	노
nwa	놔
nwae	놰
noe	뇌
nyo	뇨
nu	누
nwo	눠
nwe	눼
nwi	뉘
nyu	뉴
neu	느
nui	늬
ni	니
da	다
dae	대
dya	댜
dyae	댸
deo	더
de	데
dyeo	뎌
dye	뎨
do	도
dwa	돠
dwae	돼
doe	되
dyo	됴
du	두
dwo	둬
dwe	뒈
dwi	뒤
dyu	듀
deu	드
