bzd	不知道	不知道
wsm	为什么	為什麼
zj	自己	自己
xswl	笑死我了	笑死我了
yyds	永远的神	永遠的神
awsl	啊我死了	啊我死了
bdjw	不懂就问	不懂就問
nsdd	你说得对	你說得對
nb	牛逼	牛逼
hh	哈哈	哈哈
zq	正确	正確
gj	赶紧	趕緊
qj	请假	請假
jdl	绝了	絕了
srds	虽然但是	雖然但是
xd	笑点	笑點
dbq	对不起	對不起
asap	尽快	儘快
blbl	哔哩哔哩	嗶哩嗶哩
dd	等等	等等
emm	额	額
gkd	搞快点	搞快點
zbc	准备出发	準備出發
zsz	正式	正式
xl	笑了	笑了
orz	佩服	佩服
qaq	哭泣	哭泣
xjjd	细节	細節
drl	大佬	大佬
tql	太强了	太強了
yysy	有一说一	有一說一
zz	赞赞	讚讚
pl	漂亮	漂亮
qnd	请你等	請你等
gjj	赶紧进	趕緊進
zqsg	真情实感	真情實感
sjb	神经病	神經病
qswl	气死我了	氣死我了
kswl	磕死我了	磕死我了
srds	虽然但是	雖然但是
yxh	营销号	營銷號
zdm	真的吗	真的嗎
dr	当然	當然
bhys	不好意思	不好意思
mm	明明	明明
jj	姐姐	姐姐
gg	哥哥	哥哥
xdm	兄弟们	兄弟們
qaq	哭泣	哭泣
